AWP | BOOM (Minimal Wear)
M4A4 | Poseidon (Factory New)
MAG-7 | Counter Terrace (Well-Worn)
MAG-7 | Counter Terrace (Well-Worn)
MAG-7 | Counter Terrace (Well-Worn)
Five-SeveN | Neon Kimono (Factory New)
Five-SeveN | Neon Kimono (Factory New)
AK-47 | Hydroponic (Field-Tested)
AK-47 | Hydroponic (Field-Tested)
G3SG1 | Chronos (Factory New)
G3SG1 | Chronos (Factory New)
AWP | Sun in Leo (Battle-Scarred)
AWP | Sun in Leo (Battle-Scarred)
M249 | Shipping Forecast (Battle-Scarred)
M249 | Shipping Forecast (Battle-Scarred)
Desert Eagle | Sunset Storm 弐 (Battle-Scarred)
Desert Eagle | Sunset Storm 弐 (Battle-Scarred)
M4A4 | Daybreak (Factory New)
M4A4 | Daybreak (Factory New)
M4A4 | Daybreak (Factory New)
P250 | Whiteout (Well-Worn)
P250 | Whiteout (Well-Worn)
M4A1-S | Hyper Beast (Well-Worn)
SG 553 | Bulldozer (Well-Worn)
SG 553 | Bulldozer (Well-Worn)
AK-47 | Hydroponic (Minimal Wear)
AK-47 | Hydroponic (Minimal Wear)
AK-47 | Hydroponic (Minimal Wear)
Galil AR | Aqua Terrace (Well-Worn)
Glock-18 | Twilight Galaxy (Minimal Wear)
Glock-18 | Twilight Galaxy (Minimal Wear)
Glock-18 | Twilight Galaxy (Minimal Wear)
Dual Berettas | Duelist (Well-Worn)
Dual Berettas | Duelist (Well-Worn)
AWP | Medusa (Well-Worn)
Desert Eagle | Sunset Storm 壱 (Battle-Scarred)
Desert Eagle | Sunset Storm 壱 (Battle-Scarred)
Desert Eagle | Night (Factory New)
MP7 | Full Stop (Minimal Wear)
MP7 | Full Stop (Minimal Wear)
Five-SeveN | Nitro (Minimal Wear)
Five-SeveN | Nitro (Minimal Wear)
MAC-10 | Fade (Minimal Wear)
MAC-10 | Fade (Minimal Wear)
AK-47 | Hydroponic (Battle-Scarred)
AK-47 | Hydroponic (Battle-Scarred)
M4A1-S | Icarus Fell (Minimal Wear)
M4A1-S | Icarus Fell (Minimal Wear)
SG 553 | Bulldozer (Battle-Scarred)
SG 553 | Bulldozer (Battle-Scarred)
USP-S | Para Green (Well-Worn)
USP-S | Para Green (Well-Worn)
USP-S | Para Green (Well-Worn)
Galil AR | Aqua Terrace (Factory New)
Galil AR | Aqua Terrace (Factory New)
AUG | Akihabara Accept (Minimal Wear)
AUG | Akihabara Accept (Minimal Wear)
Five-SeveN | Nitro (Battle-Scarred)
Five-SeveN | Nitro (Battle-Scarred)
M4A4 | Daybreak (Minimal Wear)
M4A4 | Daybreak (Minimal Wear)
Desert Eagle | Sunset Storm 弐 (Factory New)
Desert Eagle | Sunset Storm 弐 (Factory New)
Desert Eagle | Sunset Storm 弐 (Factory New)
M4A4 | Poseidon (Minimal Wear)
M4A4 | Poseidon (Minimal Wear)
M4A4 | Poseidon (Minimal Wear)
M4A1-S | Hot Rod (Minimal Wear)
M4A1-S | Hot Rod (Minimal Wear)
Souvenir G3SG1 | Safari Mesh (Field-Tested)
M4A1-S | Atomic Alloy (Battle-Scarred)
StatTrak™ USP-S | Guardian (Field-Tested)
AWP | Medusa (Minimal Wear)
M4A4 | Poseidon (Field-Tested)
M4A4 | Poseidon (Field-Tested)
M4A4 | Daybreak (Battle-Scarred)
M4A4 | Daybreak (Battle-Scarred)
Dual Berettas | Urban Shock (Field-Tested)
Tec-9 | Terrace (Factory New)
Tec-9 | Terrace (Factory New)
Desert Eagle | Conspiracy (Factory New)
AK-47 | Red Laminate (Minimal Wear)
AUG | Akihabara Accept (Battle-Scarred)
AUG | Akihabara Accept (Battle-Scarred)
Five-SeveN | Neon Kimono (Well-Worn)
Five-SeveN | Neon Kimono (Well-Worn)
Five-SeveN | Neon Kimono (Well-Worn)
Galil AR | Eco (Field-Tested)
CZ75-Auto | Emerald (Minimal Wear)
CZ75-Auto | Emerald (Minimal Wear)
Desert Eagle | Sunset Storm 壱 (Well-Worn)
Desert Eagle | Sunset Storm 壱 (Well-Worn)
Desert Eagle | Sunset Storm 壱 (Well-Worn)

P250 | Whiteout (Factory New)
Desert Eagle | Sunset Storm 弐 (Well-Worn)
Desert Eagle | Sunset Storm 弐 (Well-Worn)
Desert Eagle | Bronze Deco (Well-Worn)
Five-SeveN | Nitro (Factory New)
Dual Berettas | Duelist (Factory New)
Five-SeveN | Silver Quartz (Field-Tested)
Five-SeveN | Silver Quartz (Field-Tested)
M4A4 | Daybreak (Well-Worn)
M4A4 | Daybreak (Well-Worn)
StatTrak™ SG 553 | Pulse (Field-Tested)
AWP | Medusa (Battle-Scarred)
AWP | Medusa (Battle-Scarred)
UMP-45 | Minotaur's Labyrinth (Well-Worn)
UMP-45 | Minotaur's Labyrinth (Well-Worn)
Five-SeveN | Monkey Business (Field-Tested)
AWP | Safari Mesh (Well-Worn)
AWP | Worm God (Field-Tested)
Glock-18 | Twilight Galaxy (Field-Tested)
Glock-18 | Twilight Galaxy (Field-Tested)
P90 | Ash Wood (Minimal Wear)
SG 553 | Bulldozer (Factory New)
AWP | Safari Mesh (Minimal Wear)
AK-47 | Hydroponic (Factory New)
AK-47 | Гидропоника (Прямо с завода)
Souvenir XM1014 | Fallout Warning (Well-Worn)
Tec-9 | Bamboo Forest (Factory New)
StatTrak™ P250 | Valence (Minimal Wear)
Tec-9 | Bamboo Forest (Minimal Wear)
M4A1-S | Hot Rod (Factory New)
AUG | Chameleon (Field-Tested)
AWP | Pit Viper (Field-Tested)
StatTrak™ USP-S | Orion (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
AUG | Chameleon (Minimal Wear)
StatTrak™ USP-S | Guardian (Field-Tested)
StatTrak™ AK-47 | Wasteland Rebel (Well-Worn)
AWP | Safari Mesh (Field-Tested)
AWP | Pit Viper (Minimal Wear)

SCAR-20 | Grotto (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
M4A4 | Desert-Strike (Field-Tested)
Tec-9 | Bamboo Forest (Factory New)
Five-SeveN | Monkey Business (Well-Worn)
SSG 08 | Acid Fade (Factory New)
AWP | Pit Viper (Field-Tested)
StatTrak™ P90 | Module (Field-Tested)
SSG 08 | Detour (Minimal Wear)
StatTrak™ USP-S | Guardian (Factory New)
P2000 | Ivory (Minimal Wear)
M4A1-S | Boreal Forest (Field-Tested)
FAMAS | Cyanospatter (Factory New)
Five-SeveN | Monkey Business (Field-Tested)
AWP | Asiimov (Well-Worn)
StatTrak™ P250 | Supernova (Minimal Wear)
MP9 | Deadly Poison (Minimal Wear)
StatTrak™ Five-SeveN | Nightshade (Minimal Wear)
AWP | Safari Mesh (Minimal Wear)
Souvenir MP9 | Sand Dashed (Battle-Scarred)
P90 | Teardown (Minimal Wear)
P250 | Valence (Battle-Scarred)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
M4A1-S | Atomic Alloy (Field-Tested)
FAMAS | Teardown (Well-Worn)
Tec-9 | Bamboo Forest (Minimal Wear)
MP7 | Armor Core (Field-Tested)
Tec-9 | Bamboo Forest (Field-Tested)
AK-47 | Cartel (Battle-Scarred)
AK-47 | Elite Build (Minimal Wear)
AWP | Pit Viper (Field-Tested)
USP-S | Overgrowth (Minimal Wear)
Sawed-Off | Origami (Field-Tested)
AWP | Worm God (Factory New)
M4A1-S | Guardian (Factory New)
Galil AR | Chatterbox (Well-Worn)
M4A1-S | Boreal Forest (Field-Tested)
M4A1-S | Basilisk (Factory New)
StatTrak™ AWP | Worm God (Field-Tested)
M4A1-S | VariCamo (Factory New)
StatTrak™ P250 | Cartel (Minimal Wear)
StatTrak™ SSG 08 | Slashed (Battle-Scarred)
M4A4 | 龍王 (Dragon King) (Well-Worn)
Souvenir M4A1-S | Knight (Minimal Wear)
P2000 | Red FragCam (Factory New)
AK-47 | Jaguar (Field-Tested)
USP-S | Blood Tiger (Factory New)
AK-47 | Red Laminate (Minimal Wear)
AK-47 | Safari Mesh (Field-Tested)
M4A1-S | Nitro (Field-Tested)
StatTrak™ Tec-9 | Sandstorm (Field-Tested)
P90 | Storm (Well-Worn)
AWP | Electric Hive (Factory New)
AWP | Pit Viper (Field-Tested)
AK-47 | Predator (Minimal Wear)
AWP | Worm God (Minimal Wear)
M4A1-S | Nitro (Factory New)
AWP | Safari Mesh (Minimal Wear)
Tec-9 | Bamboo Forest (Minimal Wear)
P2000 | Scorpion (Factory New)
StatTrak™ SG 553 | Pulse (Field-Tested)
StatTrak™ P2000 | Fire Elemental (Well-Worn)
Sawed-Off | Amber Fade (Factory New)
AK-47 | Redline (Minimal Wear)
Tec-9 | Bamboo Forest (Factory New)
StatTrak™ CZ75-Auto | Victoria (Minimal Wear)
USP-S | Overgrowth (Battle-Scarred)
M4A1-S | Nitro (Field-Tested)
AK-47 | Cartel (Field-Tested)
★ StatTrak™ Flip Knife | Doppler (Factory New)
P250 | Valence (Minimal Wear)
StatTrak™ P250 | Steel Disruption (Factory New)
AWP | Pit Viper (Field-Tested)
Tec-9 | Bamboo Forest (Factory New)
M4A1-S | Nitro (Minimal Wear)
StatTrak™ CZ75-Auto | Pole Position (Minimal Wear)

AK-47 | Elite Build (Factory New)
M4A1-S | Hot Rod (Factory New)
StatTrak™ SG 553 | Pulse (Battle-Scarred)
SCAR-20 | Army Sheen (Minimal Wear)
P90 | Elite Build (Minimal Wear)
Galil AR | Rocket Pop (Minimal Wear)
USP-S | Torque (Field-Tested)
Nova | Лесничий (Поношенное)
USP-S | Torque (Factory New)
FAMAS | Neural Net (Minimal Wear)
Glock-18 | Горелка Бунзена (После полевых испытаний)
Nova | Ranger (Minimal Wear)
P90 | Elite Build (Factory New)
Nova | Ranger (Field-Tested)
StatTrak™ Galil AR | Rocket Pop (Well-Worn)
StatTrak™ M4A4 | Evil Daimyo (Factory New)

P90 | Elite Build (Field-Tested)
Glock-18 | Bunsen Burner (Minimal Wear)
MP9 | Ruby Poison Dart (Minimal Wear)
UMP-45 | Riot (Field-Tested)
StatTrak™ USP-S | Torque (Factory New)
StatTrak™ UMP-45 | Riot (Field-Tested)
AK-47 | Aquamarine Revenge (Battle-Scarred)

StatTrak™ USP-S | Torque (Field-Tested)
StatTrak™ UMP-45 | Riot (Minimal Wear)
MP9 | Ruby Poison Dart (Field-Tested)
StatTrak™ P2000 | Handgun (Well-Worn)
M4A4 | Evil Daimyo (Minimal Wear)
AWP | Hyper Beast (Factory New)
AWP | Hyper Beast (Factory New)
Glock-18 | Bunsen Burner (Battle-Scarred)
UMP-45 | Riot (Minimal Wear)
Negev | Loudmouth (Field-Tested)
Nova | Ranger (Factory New)
P2000 | Handgun (Field-Tested)
CZ75-Auto | Yellow Jacket (Minimal Wear)
M4A4 | Evil Daimyo (Factory New)
AWP | Hyper Beast (Field-Tested)
Galil AR | Rocket Pop (Field-Tested)
Glock-18 | Bunsen Burner (Factory New)
USP-S | Torque (Minimal Wear)
P2000 | Handgun (Well-Worn)
M4A4 | Evil Daimyo (Field-Tested)
UMP-45 | Riot (Factory New)

StatTrak™ FAMAS | Neural Net (Minimal Wear)

StatTrak™ MP7 | Nemesis (Minimal Wear)
StatTrak™ MP7 | Nemesis (Minimal Wear)

CZ75-Auto | Yellow Jacket (Field-Tested)
SG 553 | Cyrex (Minimal Wear)
SG 553 | Cyrex (Minimal Wear)
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)
FAMAS | Neural Net (Factory New)
FAMAS | Neural Net (Factory New)
StatTrak™ MP7 | Nemesis (Factory New)
Galil AR | Rocket Pop (Battle-Scarred)
Galil AR | Rocket Pop (Well-Worn)
P90 | Элитное снаряжение (Поношенное)
StatTrak™ USP-S | Torque (Well-Worn)
FAMAS | Neural Net (Field-Tested)
StatTrak™ Glock-18 | Bunsen Burner (Battle-Scarred)
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear)
SG 553 | Cyrex (Well-Worn)
Galil AR | Rocket Pop (Factory New)
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
P90 | Elite Build (Battle-Scarred)
AK-47 | Aquamarine Revenge (Field-Tested)
Nova | Ranger (Battle-Scarred)
StatTrak™ Galil AR | Rocket Pop (Battle-Scarred)

SG 553 | Cyrex (Field-Tested)
SG 553 | Cyrex (Field-Tested)
USP-S | Torque (Well-Worn)
P2000 | Handgun (Minimal Wear)

UMP-45 | Riot (Battle-Scarred)
MP7 | Nemesis (Minimal Wear)
StatTrak™ Nova | Ranger (Well-Worn)
Negev | Loudmouth (Battle-Scarred)
MP9 | Ruby Poison Dart (Factory New)
StatTrak™ P2000 | Handgun (Battle-Scarred)
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)
MP7 | Nemesis (Field-Tested)
MP7 | Nemesis (Field-Tested)
StatTrak™ Nova | Ranger (Battle-Scarred)
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)
MP9 | Ruby Poison Dart (Well-Worn)
AWP | Hyper Beast (Well-Worn)
AK-47 | Aquamarine Revenge (Well-Worn)
AK-47 | Aquamarine Revenge (Well-Worn)
P2000 | Handgun (Battle-Scarred)
StatTrak™ MP9 | Ruby Poison Dart (Minimal Wear)
StatTrak™ MP9 | Ruby Poison Dart (Factory New)
FAMAS | Neural Net (Battle-Scarred)
P2000 | Handgun (Factory New)
SG 553 | Cyrex (Factory New)
StatTrak™ Galil AR | Rocket Pop (Field-Tested)
StatTrak™ UMP-45 | Riot (Factory New)

StatTrak™ P90 | Elite Build (Well-Worn)
StatTrak™ Nova | Ranger (Minimal Wear)

Glock-18 | Bunsen Burner (Well-Worn)
AWP | Hyper Beast (Battle-Scarred)
StatTrak™ Nova | Ranger (Field-Tested)
M4A4 | Evil Daimyo (Well-Worn)

StatTrak™ Negev | Loudmouth (Field-Tested)
StatTrak™ Negev | Loudmouth (Field-Tested)
StatTrak™ P90 | Elite Build (Field-Tested)
★ Falchion Knife | Fade (Factory New)
StatTrak™ USP-S | Torque (Minimal Wear)
StatTrak™ P2000 | Handgun (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
Negev | Loudmouth (Well-Worn)
★ Falchion Knife | Case Hardened (Well-Worn)
StatTrak™ MP9 | Ruby Poison Dart (Field-Tested)

StatTrak™ FAMAS | Neural Net (Factory New)
StatTrak™ SG 553 | Cyrex (Field-Tested)
StatTrak™ AWP | Hyper Beast (Factory New)
StatTrak™ UMP-45 | Riot (Battle-Scarred)
StatTrak™ Glock-18 | Bunsen Burner (Well-Worn)
StatTrak™ Glock-18 | Bunsen Burner (Factory New)
★ Falchion Knife | Safari Mesh (Field-Tested)
MP7 | Nemesis (Factory New)
AK-47 | Aquamarine Revenge (Minimal Wear)
StatTrak™ AK-47 | Blue Laminate (Factory New)
UMP-45 | Riot (Well-Worn)
StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested)
FAMAS | Neural Net (Well-Worn)
StatTrak™ P90 | Elite Build (Factory New)
StatTrak™ P90 | Elite Build (Factory New)
StatTrak™ P2000 | Handgun (Minimal Wear)
AWP | Hyper Beast (Minimal Wear)
AWP | Hyper Beast (Minimal Wear)
StatTrak™ Nova | Ranger (Factory New)
AK-47 | Aquamarine Revenge (Factory New)
AK-47 | Aquamarine Revenge (Factory New)
M4A4 | Evil Daimyo (Battle-Scarred)
CZ75-Auto | Yellow Jacket (Battle-Scarred)
SG 553 | Waves Perforated (Field-Tested)
★ Falchion Knife | Night (Minimal Wear)
SG 553 | Cyrex (Battle-Scarred)
★ Falchion Knife | Blue Steel (Battle-Scarred)
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)
StatTrak™ P2000 | Handgun (Factory New)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
CZ75-Auto | Yellow Jacket (Well-Worn)
CZ75-Auto | Yellow Jacket (Well-Worn)
Negev | Loudmouth (Minimal Wear)
StatTrak™ AWP | Hyper Beast (Minimal Wear)

StatTrak™ UMP-45 | Riot (Well-Worn)
M4A4 | Evil Daimyo (Minimal Wear)
★ StatTrak™ Falchion Knife | Fade (Factory New)
★ Falchion Knife | Blue Steel (Factory New)
StatTrak™ USP-S | Torque (Minimal Wear)
StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested)

StatTrak™ M4A4 | Evil Daimyo (Battle-Scarred)
★ Falchion Knife | Case Hardened (Minimal Wear)
★ Falchion Knife | Safari Mesh (Minimal Wear)
★ Falchion Knife | Safari Mesh (Well-Worn)
StatTrak™ SG 553 | Cyrex (Well-Worn)
★ Falchion Knife | Forest DDPAT (Factory New)
★ Falchion Knife | Night (Field-Tested)
StatTrak™ MP9 | Ruby Poison Dart (Well-Worn)
StatTrak™ Negev | Loudmouth (Battle-Scarred)
M4A4 | Evil Daimyo (Factory New)
★ Falchion Knife | Case Hardened (Field-Tested)
StatTrak™ M4A4 | Evil Daimyo (Well-Worn)
★ Falchion Knife | Boreal Forest (Field-Tested)
StatTrak™ CZ75-Auto | Yellow Jacket (Well-Worn)
StatTrak™ Five-SeveN | Monkey Business (Minimal Wear)
StatTrak™ AWP | Hyper Beast (Field-Tested)
★ Falchion Knife | Scorched (Field-Tested)
StatTrak™ SG 553 | Cyrex (Battle-Scarred)
StatTrak™ CZ75-Auto | Yellow Jacket (Battle-Scarred)
SSG 08 | Dark Water (Field-Tested)
StatTrak™ FAMAS | Neural Net (Well-Worn)
StatTrak™ MP9 | Ruby Poison Dart (Battle-Scarred)
StatTrak™ USP-S | Torque (Battle-Scarred)
StatTrak™ CZ75-Auto | Yellow Jacket (Minimal Wear)
M4A4 | Evil Daimyo (Field-Tested)
★ Falchion Knife | Slaughter (Factory New)
Glock-18 | Bunsen Burner (Field-Tested)
AK-47 | Jungle Spray (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
AK-47 | Hydroponic (Field-Tested)
★ Falchion Knife | Night (Battle-Scarred)
Desert Eagle | Heirloom (Factory New)
StatTrak™ AK-47 | Elite Build (Field-Tested)
Glock-18 | Blue Fissure (Well-Worn)
USP-S | Torque (Factory New)
StatTrak™ SSG 08 | Abyss (Factory New)
StatTrak™ AUG | Wings (Factory New)
USP-S | Guardian (Field-Tested)
AWP | Pit Viper (Field-Tested)
StatTrak™ Galil AR | Rocket Pop (Factory New)
★ Falchion Knife | Urban Masked (Field-Tested)
StatTrak™ FAMAS | Neural Net (Battle-Scarred)
★ Falchion Knife | Crimson Web (Minimal Wear)
P90 | Death by Kitty (Field-Tested)
CZ75-Auto | Yellow Jacket (Factory New)

StatTrak™ P90 | Elite Build (Well-Worn)
StatTrak™ Negev | Loudmouth (Well-Worn)
M4A4 | Griffin (Battle-Scarred)
USP-S | Torque (Field-Tested)
★ Falchion Knife | Case Hardened (Battle-Scarred)
★ Falchion Knife | Slaughter (Minimal Wear)
★ Falchion Knife | Stained (Field-Tested)
Glock-18 | Bunsen Burner (Field-Tested)
USP-S | Torque (Factory New)
★ Falchion Knife | Crimson Web (Field-Tested)
★ Falchion Knife | Forest DDPAT (Minimal Wear)
★ Falchion Knife | Scorched (Battle-Scarred)
★ StatTrak™ Falchion Knife | Stained (Minimal Wear)
★ Falchion Knife | Blue Steel (Well-Worn)
★ Falchion Knife | Forest DDPAT (Battle-Scarred)
Glock-18 | Bunsen Burner (Battle-Scarred)
★ Falchion Knife
★ Falchion Knife | Boreal Forest (Minimal Wear)
★ Falchion Knife | Stained (Minimal Wear)
P90 | Elite Build (Field-Tested)
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred)
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred)
M4A1-S | Atomic Alloy (Field-Tested)
★ Falchion Knife | Boreal Forest (Battle-Scarred)
AWP | Hyper Beast (Field-Tested)

P90 | Elite Build (Minimal Wear)
★ Falchion Knife | Blue Steel (Minimal Wear)
AWP | Sun in Leo (Minimal Wear)
StatTrak™ AWP | Hyper Beast (Battle-Scarred)
Glock-18 | Bunsen Burner (Battle-Scarred)
StatTrak™ USP-S | Torque (Field-Tested)
★ StatTrak™ Falchion Knife | Crimson Web (Battle-Scarred)
★ Falchion Knife | Crimson Web (Well-Worn)
StatTrak™ MP7 | Nemesis (Field-Tested)
StatTrak™ MP7 | Nemesis (Field-Tested)
★ Falchion Knife | Forest DDPAT (Well-Worn)
★ Falchion Knife
Glock-18 | Bunsen Burner (Field-Tested)
★ StatTrak™ Falchion Knife
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)
★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested)
Tec-9 | Bamboo Forest (Minimal Wear)
M4A1-S | Guardian (Factory New)
★ StatTrak™ Falchion Knife | Case Hardened (Battle-Scarred)
★ StatTrak™ Falchion Knife | Stained (Well-Worn)
★ Falchion Knife | Urban Masked (Minimal Wear)
StatTrak™ AK-47 | Aquamarine Revenge (Factory New)

P90 | Elite Build (Minimal Wear)
Glock-18 | Bunsen Burner (Field-Tested)
★ StatTrak™ Falchion Knife | Slaughter (Minimal Wear)
★ StatTrak™ Falchion Knife | Crimson Web (Field-Tested)
★ Falchion Knife | Boreal Forest (Well-Worn)
AWP | Hyper Beast (Field-Tested)
★ Falchion Knife | Urban Masked (Battle-Scarred)
★ StatTrak™ Falchion Knife | Stained (Field-Tested)
USP-S | Torque (Factory New)
★ Falchion Knife | Forest DDPAT (Field-Tested)
★ StatTrak™ Falchion Knife | Safari Mesh (Minimal Wear)
★ StatTrak™ Falchion Knife | Slaughter (Field-Tested)
★ StatTrak™ Falchion Knife | Blue Steel (Field-Tested)
★ Falchion Knife | Urban Masked (Well-Worn)
StatTrak™ P90 | Elite Build (Minimal Wear)
★ Falchion Knife | Stained (Well-Worn)
★ StatTrak™ Falchion Knife | Boreal Forest (Field-Tested)
★ StatTrak™ Falchion Knife | Forest DDPAT (Field-Tested)
★ Falchion Knife | Fade (Minimal Wear)
AK-47 | Jaguar (Field-Tested)
USP-S | Torque (Factory New)
★ Falchion Knife | Stained (Factory New)
★ StatTrak™ Falchion Knife | Forest DDPAT (Minimal Wear)
P90 | Elite Build (Minimal Wear)
★ StatTrak™ Falchion Knife | Case Hardened (Field-Tested)
USP-S | Torque (Factory New)
★ Falchion Knife | Crimson Web (Battle-Scarred)
★ StatTrak™ Falchion Knife | Forest DDPAT (Battle-Scarred)
USP-S | Torque (Factory New)
M4A4 | Evil Daimyo (Factory New)
StatTrak™ M4A4 | Faded Zebra (Field-Tested)
★ StatTrak™ Falchion Knife | Boreal Forest (Minimal Wear)
★ StatTrak™ Falchion Knife | Urban Masked (Field-Tested)
P90 | Elite Build (Minimal Wear)
★ StatTrak™ Falchion Knife | Blue Steel (Well-Worn)
★ Falchion Knife | Stained (Battle-Scarred)
★ Falchion Knife | Urban Masked (Factory New)
Glock-18 | Bunsen Burner (Battle-Scarred)
P90 | Elite Build (Minimal Wear)
FAMAS | Hexane (Factory New)
P2000 | Handgun (Field-Tested)
★ Falchion Knife
M4A4 | Evil Daimyo (Factory New)
P90 | Elite Build (Minimal Wear)
AWP | Sun in Leo (Field-Tested)
USP-S | Torque (Field-Tested)
Glock-18 | Bunsen Burner (Field-Tested)
AK-47 | Redline (Field-Tested)
★ Falchion Knife | Scorched (Minimal Wear)
★ Falchion Knife | Blue Steel (Field-Tested)
Glock-18 | Bunsen Burner (Field-Tested)
M4A4 | Evil Daimyo (Factory New)
P90 | Elite Build (Minimal Wear)
P250 | Whiteout (Minimal Wear)
M4A4 | Evil Daimyo (Field-Tested)
StatTrak™ USP-S | Torque (Minimal Wear)
Galil AR | Rocket Pop (Minimal Wear)
StatTrak™ P90 | Module (Field-Tested)
USP-S | Torque (Factory New)
M4A4 | Evil Daimyo (Field-Tested)
Glock-18 | Bunsen Burner (Field-Tested)
Desert Eagle | Midnight Storm (Minimal Wear)
M4A4 | Evil Daimyo (Factory New)
M4A4 | Evil Daimyo (Factory New)
Glock-18 | Bunsen Burner (Minimal Wear)
★ Falchion Knife | Slaughter (Field-Tested)
Glock-18 | Bunsen Burner (Field-Tested)
Nova | Antique (Field-Tested)
P90 | Elite Build (Well-Worn)
AK-47 | Hydroponic (Minimal Wear)
StatTrak™ USP-S | Torque (Minimal Wear)
M4A4 | Evil Daimyo (Factory New)
AK-47 | Hydroponic (Minimal Wear)
★ StatTrak™ Falchion Knife | Blue Steel (Minimal Wear)
StatTrak™ Nova | Tempest (Field-Tested)
M4A4 | Evil Daimyo (Minimal Wear)
★ StatTrak™ Falchion Knife | Crimson Web (Minimal Wear)
★ StatTrak™ Falchion Knife | Fade (Minimal Wear)
Desert Eagle | Night (Minimal Wear)
AWP | Hyper Beast (Well-Worn)
USP-S | Torque (Factory New)
★ StatTrak™ Falchion Knife | Crimson Web (Well-Worn)
StatTrak™ USP-S | Torque (Field-Tested)
StatTrak™ M4A4 | Desert-Strike (Battle-Scarred)
P90 | Elite Build (Field-Tested)
USP-S | Torque (Factory New)

AWP | Sun in Leo (Field-Tested)
P90 | Elite Build (Minimal Wear)
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)
M4A1-S | Icarus Fell (Factory New)
P90 | Elite Build (Field-Tested)
M4A4 | Evil Daimyo (Minimal Wear)
AWP | Hyper Beast (Minimal Wear)
AWP | Hyper Beast (Well-Worn)
AWP | Sun in Leo (Minimal Wear)

★ Falchion Knife | Night (Well-Worn)
StatTrak™ AK-47 | Elite Build (Field-Tested)
P250 | Supernova (Factory New)
StatTrak™ P90 | Module (Minimal Wear)
USP-S | Para Green (Factory New)
StatTrak™ CZ75-Auto | Twist (Factory New)
★ StatTrak™ Falchion Knife | Safari Mesh (Battle-Scarred)

M4A4 | Poseidon (Minimal Wear)
Galil AR | Rocket Pop (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)
AWP | Electric Hive (Factory New)
M4A1-S | Nitro (Minimal Wear)
USP-S | Torque (Factory New)
Desert Eagle | Night (Minimal Wear)
StatTrak™ PP-Bizon | Osiris (Factory New)
Glock-18 | Catacombs (Minimal Wear)
StatTrak™ Glock-18 | Grinder (Minimal Wear)
StatTrak™ Desert Eagle | Crimson Web (Minimal Wear)
★ Falchion Knife | Scorched (Well-Worn)
M4A1-S | Guardian (Minimal Wear)
StatTrak™ Nova | Ranger (Factory New)
StatTrak™ P90 | Elite Build (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
AK-47 | Blue Laminate (Factory New)
P90 | Elite Build (Battle-Scarred)
USP-S | Torque (Field-Tested)
M4A1-S | Blood Tiger (Factory New)
CZ75-Auto | Crimson Web (Factory New)
★ StatTrak™ Falchion Knife | Scorched (Field-Tested)
StatTrak™ P90 | Elite Build (Minimal Wear)
USP-S | Torque (Factory New)
M4A4 | Evil Daimyo (Field-Tested)
USP-S | Torque (Field-Tested)
USP-S | Torque (Field-Tested)
USP-S | Torque (Factory New)
MAC-10 | Fade (Factory New)
AWP | Worm God (Field-Tested)
M4A1-S | Guardian (Field-Tested)
MAC-10 | Fade (Factory New)
USP-S | Torque (Factory New)
StatTrak™ Glock-18 | Blue Fissure (Well-Worn)
StatTrak™ P250 | Muertos (Battle-Scarred)
★ Karambit | Marble Fade (Factory New)
AK-47 | Cartel (Factory New)
USP-S | Torque (Minimal Wear)
USP-S | Torque (Well-Worn)
P90 | Elite Build (Battle-Scarred)
M4A4 | Evil Daimyo (Factory New)
Glock-18 | Bunsen Burner (Field-Tested)
M4A1-S | Nitro (Field-Tested)
StatTrak™ USP-S | Torque (Minimal Wear)
StatTrak™ P2000 | Fire Elemental (Well-Worn)
AK-47 | Blue Laminate (Minimal Wear)
P90 | Elite Build (Well-Worn)
AK-47 | Aquamarine Revenge (Field-Tested)
StatTrak™ P90 | Elite Build (Field-Tested)
SSG 08 | Acid Fade (Factory New)
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear)
