AWP | BOOM (Minimal Wear)
Desert Eagle | Mudder (Minimal Wear)
Glock-18 | Sand Dune (Minimal Wear)
Tec-9 | Groundwater (Battle-Scarred)
Tec-9 | Groundwater (Battle-Scarred)
XM1014 | Fallout Warning (Field-Tested)
XM1014 | Fallout Warning (Field-Tested)
M4A1-S | Bright Water (Field-Tested)
Five-SeveN | Jungle (Factory New)
SSG 08 | Tropical Storm (Minimal Wear)
Nova | Tempest (Field-Tested)
MP7 | Army Recon (Well-Worn)
MP7 | Army Recon (Well-Worn)
M4A4 | X-Ray (Field-Tested)
Nova | Ghost Camo (Minimal Wear)
SCAR-20 | Crimson Web (Battle-Scarred)
P250 | Splash (Field-Tested)
AUG | Condemned (Battle-Scarred)
AUG | Condemned (Battle-Scarred)
G3SG1 | Polar Camo (Factory New)
FAMAS | Teardown (Field-Tested)
FAMAS | Teardown (Field-Tested)
P250 | Mehndi (Minimal Wear)
MP7 | Anodized Navy (Factory New)
Five-SeveN | Candy Apple (Field-Tested)
XM1014 | Fallout Warning (Well-Worn)
XM1014 | Fallout Warning (Well-Worn)
Sawed-Off | Orange DDPAT (Battle-Scarred)
AK-47 | Red Laminate (Minimal Wear)
Five-SeveN | Orange Peel (Battle-Scarred)
Five-SeveN | Orange Peel (Battle-Scarred)
XM1014 | CaliCamo (Factory New)
Nova | Modern Hunter (Well-Worn)
Tec-9 | Army Mesh (Well-Worn)
AWP | Safari Mesh (Minimal Wear)
AWP | Safari Mesh (Minimal Wear)
UMP-45 | Urban DDPAT (Well-Worn)
M4A1-S | VariCamo (Well-Worn)
M4A1-S | VariCamo (Well-Worn)
M4A4 | X-Ray (Minimal Wear)
FAMAS | Contrast Spray (Minimal Wear)
